user_id,manual_financial_category,manual_enhanced_segment,manual_financial_health_score,manual_engagement_score,ml_financial_category,ml_enhanced_segment,ml_financial_health_score,ml_engagement_score
user_000,Good,Payment_Recovery_Priority,0.684112295,0.322625,Good,Payment_Recovery_Priority,0.7355573237776604,-8.80023307862701
user_001,Fair,Debt_Management_Priority,0.536960085,0.632,Fair,Debt_Management_Priority,0.55244065452245,-13.315544905279125
user_002,Good,Growth_Focused,0.78318779,0.6011666666666667,Excellent,Activation_Needed,0.8352484364884734,-20.40923520659121
user_003,Good,Growth_Focused,0.7585847849999999,0.5043888888888888,Excellent,Activation_Needed,0.8138085036922004,-17.511431928820045
user_004,Good,Mainstream,0.680233465,0.28125,Good,Activation_Needed,0.7464540811408715,-3.202172244487386
user_005,Excellent,Premium_Moderate,0.84030594,0.34005,Excellent,Activation_Needed,0.8763691693454895,-8.146008035387975
user_006,Fair,Debt_Management_Priority,0.643861315,0.5244090909090908,Good,Debt_Management_Priority,0.7301646394331857,-14.943951139084607
user_007,Excellent,Premium_Moderate,0.806173735,0.2705,Excellent,Activation_Needed,0.8487397575643207,-6.926986550396073
user_008,Good,Mainstream,0.688329335,0.4383125,Good,Activation_Needed,0.6560900784926418,-9.942391761593026
user_009,Excellent,Premium_Engaged,0.8746790050000001,0.6838,Excellent,Activation_Needed,0.9098272125057539,-18.275999056480195
user_010,Fair,Payment_Recovery_Priority,0.54323526,0.4501111111111111,Fair,Payment_Recovery_Priority,0.6283440053997474,-13.721925978459643
user_011,Poor,Debt_Management_Priority,0.44883397,0.577923076923077,Fair,Debt_Management_Priority,0.5689945596139258,-19.02517085540653
user_012,Good,Growth_Focused,0.74799898,0.7090416666666666,Good,Activation_Needed,0.7970640458671672,-20.24794444645804
user_013,Good,Growth_Focused,0.76468994,0.5720714285714286,Excellent,Activation_Needed,0.8213203144351043,-19.07713130239037
user_014,Poor,Payment_Recovery_Priority,0.363508995,0.68253125,Fair,Payment_Recovery_Priority,0.46734708560824045,-21.983929291716137
user_015,Good,Mainstream,0.74360622,0.434,Good,Activation_Needed,0.7141408650042395,-12.597098214278972
user_016,Good,Mainstream,0.741874045,0.48942857142857144,Excellent,Activation_Needed,0.8021278113510952,-11.785921961444387
user_017,Excellent,Premium_Engaged,0.822549785,0.57178125,Excellent,Activation_Needed,0.8632755850243929,-15.985403951887609
user_018,Fair,Debt_Management_Priority,0.5933736150000001,0.5518636363636364,Good,Debt_Management_Priority,0.6799046614110487,-14.339002843342854
user_019,Good,Mainstream,0.66982985,0.47533333333333333,Good,Activation_Needed,0.7388442430557777,-15.482863236866628
user_020,Fair,Debt_Management_Priority,0.635812185,0.4494375,Good,Debt_Management_Priority,0.7260758454161137,-10.71910472634192
user_021,Excellent,Premium_Engaged,0.850566955,0.6705555555555556,Excellent,Activation_Needed,0.8857741150679701,-19.866294846625607
user_022,Poor,Payment_Recovery_Priority,0.40947465499999997,0.44256249999999997,Poor,Payment_Recovery_Priority,0.42159735054941216,-17.173897007577175
user_023,Good,Payment_Recovery_Priority,0.71835674,0.42675,Good,Payment_Recovery_Priority,0.7592193044541284,-11.425219517560816
user_024,Good,Growth_Focused,0.7270447899999999,0.5187,Good,Activation_Needed,0.7902028916181746,-12.297056326508969
user_025,Fair,Growth_Focused,0.61721773,0.531625,Fair,Activation_Needed,0.6094471098981207,-12.989789122710853
user_026,Good,Payment_Recovery_Priority,0.721042585,0.38160000000000005,Good,Payment_Recovery_Priority,0.7547385009476021,-14.683643663528857
user_027,Good,Growth_Focused,0.772289455,0.5747222222222222,Excellent,Activation_Needed,0.8274115488735482,-13.175509007964717
user_028,Fair,Debt_Management_Priority,0.49768472999999996,0.63575,Fair,Debt_Management_Priority,0.5094103731056357,-19.75413675802713
