user_id,enhanced_segment,financial_category,primary_recommendation,secondary_recommendation,tertiary_recommendation,primary_ml_score,primary_hybrid_score,financial_priorities,urgency_flags,strategy,credit_score,dti_ratio,financial_health_score,engagement_score,recommendation_method
user_000,Payment_Recovery_Priority,Good,improve,insights,protect,0.0,0.6649999999999999,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,696,0.47,0.684112295,0.3206,ML_Hybrid
user_001,Debt_Management_Priority,Fair,improve,insights,drivescore,0.0,0.6859999999999999,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,643,0.54,0.536960085,0.63065,ML_Hybrid
user_002,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,Wealth_Building,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.41.,867,0.41,0.78318779,0.60115,ML_Hybrid
user_003,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.37.,938,0.37,0.7585847849999999,0.5035000000000001,ML_Hybrid
user_004,Mainstream,Good,improve,insights,drivescore,0.0,0.35,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,763,0.48,0.680233465,0.28125,ML_Hybrid
user_005,Premium_Moderate,Excellent,improve,protect,insights,1.0,0.6499999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML premium content recommendations with clear value propositions. Algorithmic content selection balanced with wealth building advice.,981,0.22,0.84030594,0.34005,ML_Hybrid
user_006,Debt_Management_Priority,Fair,improve,insights,drivescore,0.0,0.6859999999999999,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 66.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,778,0.66,0.643861315,0.5233,ML_Hybrid
user_007,Premium_Moderate,Excellent,insights,protect,improve,1.0,0.6499999999999999,Wealth_Building,STABLE_FINANCIAL_POSITION,ML premium content recommendations with clear value propositions. Algorithmic content selection balanced with wealth building advice.,918,0.39,0.806173735,0.2705,ML_Hybrid
user_008,Mainstream,Good,improve,insights,drivescore,0.0,0.35,Legal_Financial_Issues,LEGAL_ACTION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,708,0.13,0.688329335,0.4403,ML_Hybrid
user_009,Premium_Engaged,Excellent,protect,improve,insights,0.0,0.5249999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 1000.,1000,0.0,0.8746790050000001,0.6838,ML_Hybrid
user_010,Payment_Recovery_Priority,Fair,improve,insights,protect,0.0,0.6649999999999999,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction",STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,614,0.73,0.54323526,0.4492,ML_Hybrid
user_011,Debt_Management_Priority,Poor,improve,insights,drivescore,0.0,0.6859999999999999,"URGENT_DTI_REDUCTION, Credit_Repair, Debt_Reduction, Debt_Consolidation",HIGH_DEBT_BURDEN,🚨 CRITICAL: DTI 106.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,591,1.06,0.44883397,0.5775999999999999,ML_Hybrid
user_012,Growth_Focused,Good,improve,insights,drivescore,0.0,0.35,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.36.,811,0.36,0.74799898,0.70905,ML_Hybrid
user_013,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.33.,921,0.33,0.76468994,0.5726500000000001,ML_Hybrid
user_014,Payment_Recovery_Priority,Poor,improve,insights,protect,0.0,0.6649999999999999,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Debt_Reduction, Payment_Management, Debt_Consolidation","HIGH_DEBT_BURDEN, CRITICAL_CREDIT_SCORE",🚨 PAYMENT ISSUES: 4 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,359,1.12,0.363508995,0.68355,ML_Hybrid
user_015,Mainstream,Good,improve,insights,drivescore,0.0,0.35,"Legal_Financial_Issues, Wealth_Building, Homeownership_Ready",LEGAL_ACTION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,800,0.0,0.74360622,0.4331,ML_Hybrid
user_016,Mainstream,Good,insights,improve,drivescore,1.0,0.6499999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,898,0.43,0.741874045,0.49115,ML_Hybrid
user_017,Premium_Engaged,Excellent,protect,improve,insights,0.0,0.5249999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 954.,954,0.27,0.822549785,0.5738000000000001,ML_Hybrid
user_018,Debt_Management_Priority,Fair,insights,improve,drivescore,1.0,0.9299999999999999,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,683,0.7,0.5933736150000001,0.5504,ML_Hybrid
user_019,Mainstream,Good,improve,insights,drivescore,0.0,0.35,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,800,0.42,0.66982985,0.47445,ML_Hybrid
user_020,Debt_Management_Priority,Fair,insights,improve,drivescore,1.0,0.9299999999999999,"URGENT_DTI_REDUCTION, Debt_Reduction, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 70.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,732,0.7,0.635812185,0.45145,ML_Hybrid
user_021,Premium_Engaged,Excellent,protect,improve,insights,0.0,0.5249999999999999,Wealth_Building,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 972.,972,0.19,0.850566955,0.67235,ML_Hybrid
user_022,Payment_Recovery_Priority,Poor,improve,insights,protect,0.0,0.6649999999999999,"URGENT_PAYMENT_MANAGEMENT, Credit_Repair, Payment_Management, Legal_Financial_Issues","CRITICAL_CREDIT_SCORE, LEGAL_ACTION",🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,419,0.5,0.40947465499999997,0.44055,ML_Hybrid
user_023,Payment_Recovery_Priority,Good,improve,insights,protect,0.0,0.6649999999999999,URGENT_PAYMENT_MANAGEMENT,STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,810,0.3,0.71835674,0.42675,ML_Hybrid
user_024,Growth_Focused,Good,improve,insights,drivescore,0.0,0.35,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.49.,878,0.49,0.7270447899999999,0.5186999999999999,ML_Hybrid
user_025,Growth_Focused,Fair,drivescore,improve,insights,1.0,0.6499999999999999,Legal_Financial_Issues,LEGAL_ACTION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.36.,761,0.36,0.61721773,0.5316,ML_Hybrid
user_026,Payment_Recovery_Priority,Good,improve,insights,protect,0.0,0.6649999999999999,"URGENT_PAYMENT_MANAGEMENT, Payment_Management, Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 3 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,714,0.18,0.721042585,0.38160000000000005,ML_Hybrid
user_027,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.31.,925,0.31,0.772289455,0.5765,ML_Hybrid
user_028,Debt_Management_Priority,Fair,improve,insights,drivescore,0.0,0.6859999999999999,"URGENT_DTI_REDUCTION, Credit_Repair, Legal_Financial_Issues",LEGAL_ACTION,🚨 CRITICAL: DTI 51.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,601,0.51,0.49768472999999996,0.6344000000000001,ML_Hybrid
user_029,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,"Wealth_Building, Homeownership_Ready",STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.21.,864,0.21,0.771152615,0.5594,ML_Hybrid
user_030,Mainstream,Good,improve,insights,drivescore,0.0,0.35,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,856,0.27,0.7617260950000001,0.4236,ML_Hybrid
user_031,Debt_Management_Priority,Good,improve,insights,drivescore,0.0,0.6859999999999999,"URGENT_DTI_REDUCTION, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 54.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,772,0.54,0.65607181,0.5753999999999999,ML_Hybrid
user_032,Mainstream,Good,improve,insights,drivescore,1.0,0.6499999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,ML-balanced content strategy for users with decent financial health. Machine learning predictions guide practical financial advice selection.,941,0.27,0.799098955,0.34725,ML_Hybrid
user_033,Premium_Engaged,Excellent,insights,protect,improve,1.0,0.6499999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 900.,900,0.19,0.8215125900000001,0.5025999999999999,ML_Hybrid
user_034,Growth_Focused,Good,insights,improve,drivescore,1.0,0.6499999999999999,Homeownership_Ready,STABLE_FINANCIAL_POSITION,Hybrid ML + growth strategy. ML predictions weighted with moderate financial complexity content. Current DTI: 0.38.,919,0.38,0.744120255,0.5219499999999999,ML_Hybrid
user_035,Premium_Engaged,Excellent,insights,protect,improve,1.0,0.6499999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML-driven premium content strategy. Machine learning identified content preferences combined with wealth management focus. Credit score: 917.,917,0.16,0.812381625,0.55905,ML_Hybrid
user_036,Debt_Management_Priority,Fair,insights,improve,drivescore,1.0,0.9299999999999999,"URGENT_DTI_REDUCTION, Debt_Reduction",STABLE_FINANCIAL_POSITION,🚨 CRITICAL: DTI 69.0% - URGENT debt reduction required. ML model recommends content with financial override priority.,680,0.69,0.57762998,0.32075,ML_Hybrid
user_037,Premium_Moderate,Excellent,improve,protect,insights,1.0,0.6499999999999999,General_Financial_Wellness,STABLE_FINANCIAL_POSITION,ML premium content recommendations with clear value propositions. Algorithmic content selection balanced with wealth building advice.,1000,0.09,0.895772245,0.49085,ML_Hybrid
user_038,Payment_Recovery_Priority,Fair,improve,insights,protect,0.0,0.6649999999999999,"URGENT_PAYMENT_MANAGEMENT, Homeownership_Ready",STABLE_FINANCIAL_POSITION,🚨 PAYMENT ISSUES: 2 missed payments detected - URGENT payment management required. ML predictions adjusted for payment crisis.,668,0.59,0.60514361,0.43715,ML_Hybrid
